Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ABLA D,1,1,4,1,0,1,0,0,1,0,0,0,0,7,1
ABLA D,2,1,2,0,0,0,0,0,1,0,0,0,0,3,1
ABLA D,4,4,1,0,0,2,0,2,0,0,0,2,0,7,4
ABLA D,5,1,3,0,0,0,1,0,3,0,0,0,1,5,4
BAHIA V,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
BAHIA V,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BAHIA V,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BAHIA V,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0
BELORIO L,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BELORIO L,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BELORIO L,5,1,1,1,0,0,0,0,0,0,0,0,0,3,0
BRUZZO M,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BRUZZO M,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CHAMORRO V,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DIAS M,1,1,0,0,1,1,0,0,0,0,1,0,0,3,1
DIAS M,2,7,2,0,0,0,0,0,0,0,0,0,0,9,0
DIAS M,4,0,0,0,0,3,0,0,0,0,0,1,0,3,1
DIAS M,5,1,0,0,0,1,0,0,0,0,0,0,0,2,0
DUARTE M,1,4,3,0,0,1,0,1,0,0,0,0,0,8,1
DUARTE M,2,5,5,0,0,1,0,0,1,0,0,0,0,11,1
DUARTE M,4,4,1,0,0,1,0,0,0,0,0,0,0,6,0
DUARTE M,5,2,1,0,0,0,0,1,1,0,0,0,0,3,2
FERREIRA S,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FERREIRA S,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0
FERREIRA S,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1
SOUZA J,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SOUZA J,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ZABLITH M,1,1,4,0,0,3,0,0,0,0,0,1,0,8,1
ZABLITH M,2,4,1,1,0,0,0,1,0,1,0,0,0,6,2
ZABLITH M,4,6,1,0,0,1,0,3,1,0,0,0,0,8,4
ZABLITH M,5,2,2,1,0,0,0,0,0,0,0,0,0,5,0
